business_id,name,city,state,stars,review_count,RestaurantsTakeOut,BusinessAcceptsCreditCards,RestaurantsPriceRange2
pQeaRpvuhoEqudo3uymHIQ,The Empanadas House,Champaign,IL,4.5,5,1.0,1.0,1.0
vjTVxnsQEZ34XjYNS-XUpA,Wetzel's Pretzels,Phoenix,AZ,4.0,10,1.0,1.0,1.0
98hyK2QEUeI8v2y0AghfZA,Pho Lee's Vietnamese Restaurant,Cleveland,OH,4.5,23,1.0,1.0,
tLpkSwdtqqoXwU0JAGnApw,Wendy's,Cleveland,OH,3.5,7,1.0,1.0,1.0
lK-wuiq8b1TuU7bfbQZgsg,Hingetown,Cleveland,OH,3.0,4,0.0,0.0,4.0
LAoSegVNU4wx4GTA8reB6A,Tzikii Food Truck,Tempe,AZ,3.0,4,0.0,1.0,
ZkzutF0P_u0C0yTulwaHkA,Lelulos Pizzeria,Plum,PA,4.0,31,1.0,1.0,1.0
7j0kor_fkeYhyEpXh4OpnQ,Scramblers - Strongsville,Strongsville,OH,3.5,81,1.0,1.0,1.0
OWkS1FXNJbozn-qPg3LWxg,Mama Napoli Pizza,Las Vegas,NV,4.5,11,1.0,1.0,
j9bWpCRwpDVfwVT_V85qeA,Papaya Thai,Mesa,AZ,2.5,130,1.0,1.0,1.0
MTx-Zdl_KcU_z9G832XAjg,Taco Bell,Las Vegas,NV,2.5,37,1.0,1.0,1.0
W7hCuNdn2gzehta6eSHzgQ,Pete's Fish & Chips,Tempe,AZ,2.0,117,1.0,0.0,1.0
8nP8ghEpT6WFcM6tfqAaGA,Sugar Bowl,Scottsdale,AZ,3.5,720,1.0,1.0,1.0
8Hvp1tYKiQbBgGIwkCRK5g,Tony's Family Restaurant,Parma,OH,4.0,60,1.0,1.0,1.0
39lLJK_rrYY2NYomSsQdUA,Marco's Pizza,Beachwood,OH,2.5,11,1.0,1.0,2.0
0y6alZmSLnPzmG5_kP5Quw,J J's Pizza,Fairview Park,OH,4.5,21,1.0,1.0,1.0
OGVHlFHSXjHuioOvm1wVqg,The Jackman Bar & Restaurant,Avalon,PA,4.0,13,1.0,1.0,1.0
3C0bnFhjkgYP9mWORKg6cA,Chili Man,Charlotte,NC,5.0,172,1.0,1.0,1.0
5X7TQsA3iDbBc8yy2YkCnA,Blimpie,Scottsdale,AZ,4.5,35,1.0,1.0,1.0
e1tqT4QNOUqDiOvmaIcxfQ,Chef Alyssa's Kitchen,Charlotte,NC,4.5,58,1.0,1.0,2.0
VBVqHnViRLSYAqP7v8iNNQ,Jalapeño Inferno,Scottsdale,AZ,3.5,247,1.0,1.0,2.0
Yr_w9lakJrKMyEG_hI6zbA,Fat Moe's Pizza & Wings,Las Vegas,NV,4.0,141,1.0,1.0,1.0
PlP0c_u3g-3LiWHpb2XnOQ,Lee Cafe,Fort Mill,SC,4.0,267,1.0,1.0,2.0
8k8cMmMcuj5h85mMLMoj2w,RayNathan's,Gastonia,NC,4.0,58,1.0,1.0,2.0
GvCblda5MdYBqNFBUlHuyg,Barb's Country Junction Cafe,Carnegie,PA,3.5,11,1.0,1.0,1.0
wU3wVPC2RQLS_zW-pe83tw,Barrel Lodge Bar & Grill,Streetsboro,OH,3.5,4,0.0,,
AN0bWhisCf6LN9eHZ7DQ3w,Los Olivos Ristorante,Las Vegas,NV,5.0,222,1.0,1.0,2.0
goar7zF4G0LdsQ1Y4KS3Iw,Pittsburgh Barbecue Company,Pittsburgh,PA,4.0,91,1.0,1.0,2.0
AtD6B83S4Mbmq0t7iDnUVA,Veggie House,Las Vegas,NV,4.5,1142,1.0,1.0,2.0
ypILNgy7QFskKAdcPKB2RQ,KFC,Rock Hill,SC,2.0,5,1.0,1.0,1.0
2nbibYLTR96Nr2nk-1spdw,Church's Chicken,Phoenix,AZ,3.5,5,1.0,1.0,1.0
bjqwzEr9fU1keOcJFOZqWA,Chinese New Year Celebration,Las Vegas,NV,4.0,13,,,
CfwrsG76Wm4iLS22v_wAcg,McDonald's,Parma Heights,OH,2.5,15,1.0,1.0,1.0
_V4CzzA7Z9h4qyLIdG-KUg,Wendy's,Charlotte,NC,1.5,18,1.0,,1.0
grZ6FnfZoj1pQWElAQve3g,Wendy's,Pittsburgh,PA,2.0,22,1.0,1.0,1.0
UZ34XAw1GJ3chCOuKL69Mg,Garcia's,Tempe,AZ,3.0,119,1.0,1.0,2.0
oUX2bYbqjqST-urKbOHG6w,Loftti Cafe,Las Vegas,NV,4.5,284,1.0,1.0,1.0
FiW6w5nmhlUoJAyNofb4jg,Fruits and Roots,Las Vegas,NV,4.5,106,1.0,1.0,2.0
K4rLi2Mqz931v07nMSih5w,Chipotle Mexican Grill,Scottsdale,AZ,1.5,28,1.0,1.0,1.0
CU4LgHxH0EwXnPUmQsWFSQ,Church's Chicken,Tempe,AZ,2.0,14,,1.0,
